id,name
1,Core i7 11th Gen
2,Core i5 11th Gen
3,Core i9 10th Gen
4,Core i5 10th Gen
5,Core i7 10th Gen
6,Core i7 9th Gen
7,Core i5 9th Gen
8,Core i3 10th Gen
9,Core i9 9th Gen
10,Core i7 3rd Gen
11,Core i7 7th Gen
12,Core i5 6th Gen
13,Core i3 9th Gen
14,Ryzen 7 3rd Gen
15,Ryzen 7 5000 Series
16,Ryzen 5 2nd Gen
17,Ryzen 5 5000 Series
18,Ryzen 9 3rd Gen
19,Ryzen Threadripper PRO
20,Ryzen 5 3rd Gen
