id,name
1,PCIe 8-PIN
2,PCIe 6-PIN
3,ATX 24-PIN
4,ATX 20-PIN
5,EPS/ATX12V 8-PIN
6,EPS/ATX12V 4-PIN
7,SATA (7-PIN)
8,MOLEX (4-PIN)
9,FDD
