id,name
1,Intel
2,AMD
3,MSI
4,GIGABYTE
5,ASUS
6,EVGA
7,XFX
8,Gainward
9,ASrock
10,CORSAIR
11,SeaSonic
12,Thermaltake
13,G.SKILL
14,OLOy
15,Patriot
16,Team
17,GeIL
18,Western Digital
19,SAMSUNG
20,Crucial
21,Kingston
22,Team Group
23,Seagate
