id,name
1,PCIe 8-PIN
2,PCIe 6-PIN
3,ATX 24-PIN (20+4)
4,EPS/ATX12V 8-PIN (4+4)
5,PCIe 8-PIN (6+2)
6,SATA 15-PIN
7,MOLEX 4-PIN
8,FDD
9,ATX 24-PIN
10,MOLEX 4-PIN + FDD
