id,name
1,Vengeance LPX
2,Ripjaws V Series
3,Vengeance RGB Pro
4,Aegis
5,WarHawk RGB
6,Viper Steel
7,Trident Z RGB (For AMD)
8,T-FORCE DARK Za
9,ORION RGB AMD Edition
10,Trident Z Neo Series
11,T-FORCE VULCAN Z
12,ORION AMD Edition
13,Viper Elite
14,Viper RGB
15,TridentZ RGB Series
